t,left_input,right_input,6743,37580,57553,108826,motor_left,motor_right,speed_um_s,turn_rad_s,x_um,y_um
21.400000000000002,0.7669353701104301,0.1153817615498575,0.786628161615871,0.5925678843272612,0.5459235119399581,0.5334307297863585,0.5323330762593187,0.5351943682903829,32.620658669192835,0.006867100874554132,-10.086933177203719,-214.00098749434937
21.5,0.7733915635278162,0.11635821427907724,0.7901070461325188,0.5947580539689471,0.5487214281785106,0.5370321378182207,0.5361420149451263,0.5385072491913405,32.79158233927521,0.005676562190914236,-9.768027089778116,-217.24907268594234
21.6,0.7797167182664206,0.1173141195927486,0.7934833458552926,0.5969035472668088,0.551327752687444,0.5403759381860459,0.5396726834161667,0.5415866749834275,32.950224601590264,0.004593579761425914,-9.4459216255932,-220.5133562305541
21.7,0.7858866632667534,0.11824588729133789,0.796747309854928,0.5989978743226265,0.5537555024396176,0.543479464825143,0.5429439914712182,0.5444484985406622,33.09741976028513,0.0036108169666657195,-9.121052112001962,-223.79268796570113
21.8,0.7918776717886116,0.11914999574019589,0.7998899428535929,0.601034950911209,0.5560168828231102,0.5463591978936664,0.5459739325150138,0.5471077354796873,33.233960031872826,0.0027211271152163263,-8.793820525026604,-227.08599676938138
21.900000000000002,0.7976665777934564,0.12002300850906665,0.8029030038565146,0.6030091135475625,0.5581233000778868,0.5490307410452004,0.5487795554041862,0.5495785528388341,33.36059459783249,0.001917593843154819,-8.464596873186565,-230.392286257475
22,0.8032308858001305,0.1208615901732639,0.8057789936855759,0.6049151264477821,0.5600853818828035,0.5515088128058415,0.5513769522401383,0.5518742697292374,33.47802932726501,0.00119356197383782,-8.133720733329938,-233.7106304657209
22.1,0.8085488742126651,0.12166252125955049,0.8085111330162696,0.6067481812359277,0.5619130041747926,0.5538072497227512,0.5537812594546679,0.5540073678739083,33.58692705588583,0.0005426602061767482,-7.801502892192275,-237.04016956874784
22.2,0.8135996921479555,0.12242271232548908,0.811093332531149,0.6085038903089921,0.5636153225462293,0.555939019167283,0.556006669795502,0.5559895101473618,33.68790831862873,-0.00004118315553647278,-7.468227054156159,-240.38010567887113
22.3,0.8183634498098254,0.12313921716521511,0.8135201567742003,0.6101782747978911,0.5652008068158115,0.5579162398980019,0.5580664530815551,0.5578315654311639,33.781552444305255,-0.0005637303609390187,-7.134151581924925,-243.72969875860053
22.400000000000002,0.8228213024666379,0.12380924513751063,0.8157867832291497,0.6117677480592216,0.5666772775982274,0.559750208709118,0.5599729838535995,0.5595436383020447,33.86839893173546,-0.0010304293237315854,-6.799511242427798,-247.0882626731477
22.5,0.8269555280940198,0.12443017261397872,0.8178889580581493,0.6132690956055629,0.5680519439058841,0.5614514317021521,0.5617377742893893,0.5611351022634404,33.948949037267916,-0.0014464128622773131,-6.464518935329579,-250.45516140256768
22.6,0.8307495987441262,0.12499955354627765,0.8198229498326345,0.6146794523365359,0.569331441001014,0.5630296589189151,0.5633715109793499,0.5626146354145503,34.0236675134536,-0.00181650135551914,-6.129367385953628,-253.8298054274951
22.7,0.8341882456996462,0.12551512915198176,0.8215855024717945,0.6159962778736152,0.5705218678786044,0.5644939212595128,0.5648840943674981,0.5639902576207247,34.09298444771734,-0.002145208192256032,-5.794230788329969,-257.2116482975407
22.8,0.8372575184656573,0.12597483671887622,0.8231737884816622,0.617217330733304,0.5716288239007619,0.5658525687785405,0.5662846798512232,0.5652693684037309,34.1572971581189,-0.002436747473981615,-5.459266387458229,-260.6001833874234
22.900000000000002,0.8399448376465001,0.12637681752752053,0.8245853634639811,0.6183406419997229,0.5726574442226791,0.5671133096053567,0.5675817197028048,0.5664587849095891,34.216972110697455,-0.0026950435037176312,-5.124615992757754,-263.99494084251546
23,0.8422390417488909,0.1267194238918618,0.825818122742598,0.6193644890823252,0.5736124337511069,0.5682832488703191,0.5687830051255052,0.5675647794352204,34.27234682945741,-0.002923741656683365,-4.790407417149254,-267.39548471275975
23.1,0.8441304279471867,0.12700122531764232,0.8268702608390532,0.6202873700700945,0.57449809946001,0.5693689271387091,0.5698957078886923,0.5685931161035774,34.32373177581447,-0.0031262202842755825,-4.456755838265053,-270.8014102717598
23.2,0.8456107868425302,0.12722101377841147,0.8277402344203747,0.6211079791224363,0.5753183809568707,0.570376357958576,0.5709264211008961,0.5695490863710252,34.371412179326114,-0.003305603351690145,-4.123765080005342,-274.21234151608314
23.3,0.8466734312449378,0.12737780810917523,0.8284267292421464,0.6218251832706114,0.5760768792487966,0.571311064219011,0.5718811987783828,0.5704375431315171,34.415649805837596,-0.003464773552477851,-3.7915288140588927,-277.6279288385549
23.400000000000002,0.8473132190064377,0.12747085751813944,0.8289286315193166,0.6224380009431328,0.5767768837019893,0.5721781130925727,0.5727655939511371,0.5712629332506772,34.45668465284354,-0.003606385681103763,-3.4601316821481305,-281.04784686833773
23.5,0.8475265699343196,0.1274996442176538,0.8292450040759574,0.6229455824746796,0.5774213972229273,0.5729821494009879,0.5735846951195864,0.572029328420458,34.49473656496106,-0.0037328800779083513,-3.129650340655189,-284.4717924699262
23.6,0.8473114768164063,0.12746388517634985,0.8293750675527962,0.6233471928110348,0.578013159716305,0.5737274272980978,0.5743431609353516,0.5727404542727653,34.53000676499481,-0.003846495990207188,-2.80015442998274,-287.8994828927798
23.7,0.8466675105950707,0.12736353299559683,0.8293181868869015,0.6236421965822607,0.5785546698947368,0.5744178402094969,0.5750452530291597,0.5733997177294965,34.56267929820775,-0.003949284719191581,-2.4717074715240415,-291.3306540630674
23.8,0.8455958197333532,0.12719877591476142,0.8290738632202053,0.623830045682411,0.5790482055296269,0.5750569490055856,0.575694866950034,0.574010232597928,34.59292238915109,-0.004043122445054337,-2.144367695520941,-294.76505900897746
23.900000000000002,0.8440991238249314,0.12697003695134382,0.8286417313411099,0.6239102694660055,0.5794958422424864,0.5756480084149043,0.5762955612131935,0.5745748434453336,34.62088971180465,-0.0041297226428636865,-1.8181888032950155,-298.20246641108133
24,0.8421817015096864,0.1266779721838507,0.828021562714637,0.6238824676484924,0.5798994709422178,0.576193991708594,0.576850584480757,0.5750961478060724,34.64672157488391,-0.004210648019242935,-1.4932206675516682,-301.64265926946337
24.1,0.8398493727680366,0.12632346818723766,0.8272132741097329,0.6237463059791245,0.5802608140172052,0.5766976137055662,0.5773629009203755,0.5755765167890067,34.670546025025175,-0.004287321915285069,-1.1695099744715662,-305.0854336795496
24.2,0.8371094756798998,0.1259076386328825,0.8262169417857006,0.6235015147391347,0.5805814403920874,0.577161352162236,0.5778352138030978,0.5760181141637546,34.692479871204455,-0.004361039134423627,-0.8471008113297103,-308.53059770892924
24.3,0.8339708377478983,0.1254318200673145,0.8250328211516541,0.6231478901047609,0.5808627795583281,0.5775874676212076,0.5782699874139243,0.5764229140116465,34.7126296342137,-0.004432976165466851,-0.5260352033305935,-311.9779703678023
24.400000000000002,0.8304437418990549,0.12489756688629307,0.8236613717617874,0.6226852984024733,0.5811061346855463,0.5779780218007157,0.5786694673572401,0.5767927170319119,34.73109242533965,-0.004504200780787659,-0.20635360321603002,-315.4273806661158
24.5,0.8265398872945426,0.12430664552328048,0.8221032874537867,0.6221136832716448,0.5813126949173311,0.5783348946114757,0.5790356993452527,0.5771291655960934,34.74795675859231,-0.0045756809979822675,0.11190466289826873,-318.87866675082023
24.6,0.8222723450928698,0.1236610278738582,0.8203595313767411,0.6214330757367574,0.5814835469511793,0.5786597998903524,0.5793705465611717,0.5774337576444175,34.76330330093414,-0.004648293400210069,0.42870099019819463,-322.331675117176
24.7,0.8176555093280102,0.12296288398017254,0.8184313755876165,0.6206436071760532,0.5816196859974364,0.5789542999413074,0.5796757056905982,0.5777078595172013,34.777205564987185,-0.004722830816152701,0.7439971272524417,-325.7862598884076
24.8,0.8127050430802722,0.12221457400203772,0.8163204448213015,0.6197455251552924,0.5817220262067859,0.5792198189738007,0.5799527217148034,0.5779527178126581,34.78973054865908,-0.0048000093651486605,1.0577548426053909,-329.242282158476
24.900000000000002,0.8074378201339555,0.12141863950385154,0.8140287639583931,0.618739212073067,0.5817914106500023,0.5794576555274602,0.5802030015585841,0.5781694703599395,34.80093932604456,-0.004880474876746988,1.3699356232127684,-332.6996093931202
25,0.8018718623319354,0.12057779408896745,0.8115588086277157,0.6176252065371108,0.5818286209273899,0.5796689939696478,0.5804278266834287,0.5783591563931109,34.81088759383695,-0.004964808696762901,1.680500402211237,-336.15811488478084
